Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Distance,Total Descent,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Pilates,5/10/2023 08:37,FALSE,Pilates,0,136,00:47:46,89,109,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,47:46.2,1,0,0,--,00:47:46,00:47:46,--,--
Pilates,4/9/2023 11:45,FALSE,Pilates,0,136,00:58:15,81,120,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,58:15.5,1,0,0,--,00:58:15,00:58:48,--,--
Pilates,12/1/2023 15:43,FALSE,Pilates,0,139,00:45:18,88,124,0.3,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,45:18.5,1,0,0,--,00:45:18,00:45:18,--,--
Pilates,4/29/2023 09:00,FALSE,Pilates,0,140,00:48:26,90,117,0.3,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,48:25.7,1,0,0,--,00:48:26,00:48:26,--,--
Pilates,1/10/2024 10:52,FALSE,Pilates,0,141,00:48:58,86,112,0.3,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,48:58.2,1,0,0,--,00:48:58,00:48:58,--,--
Pilates,11/9/2023 10:12,FALSE,Pilates,0,141,00:50:24,87,116,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,50:23.6,1,0,0,--,00:50:24,00:50:24,--,--
Pilates,4/3/2023 09:42,FALSE,Pilates,0,141,00:50:08,88,121,0.3,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,50:08.2,1,0,0,--,00:50:08,00:50:08,--,--
Walking,3/28/2022 09:28,FALSE,Caminar,2.36,141,00:41:48,98,119,0.7,66,131,17:42,05:21,53,51,0.95,0,0,0,0,0,0,0,0,0,0,0,--,00:00,0,00:00,No,18:14.8,2,0,2.36,51,00:30:16,00:41:48,30,57
Pilates,11/19/2023 08:26,FALSE,Pilates,0,142,00:47:01,90,121,0.5,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,47:00.5,1,0,0,--,00:47:01,00:49:47,--,--
Pilates,6/22/2023 08:44,FALSE,Pilates,0,142,00:50:23,88,109,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,50:23.3,1,0,0,--,00:50:23,00:52:21,--,--
Pilates,4/15/2023 11:12,FALSE,Pilates,0,142,00:50:05,90,111,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,50:04.7,1,0,0,--,00:50:05,00:50:05,--,--
Walking,4/6/2022 19:16,FALSE,Caminar,2.69,142,00:42:01,104,118,0.7,89,134,15:35,00:31,13,14,0.74,0,0,0,0,0,0,0,0,0,0,0,--,00:00,0,00:00,No,17:06.3,2,0,2.69,14,00:38:32,00:42:01,48,60
Pilates,5/29/2023 08:47,FALSE,Pilates,0,143,00:50:26,89,110,0.3,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,50:26.5,1,0,0,--,00:50:26,00:50:26,--,--
Pilates,12/21/2021 18:38,FALSE,Pilates,0,144,00:42:09,96,118,0.7,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,42:09.2,1,0,0,--,00:42:09,00:42:09,--,--
Pilates,3/24/2023 08:35,FALSE,Pilates,0,145,00:45:05,94,116,0.4,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,45:04.6,1,0,0,--,00:45:05,00:45:05,--,--
Pilates,2/20/2022 09:49,FALSE,Pilates,0,147,00:31:59,111,146,2.1,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,31:58.6,1,0,0,--,00:31:59,00:31:59,--,--
Pilates,2/23/2024 07:29,FALSE,Pilates,0,148,00:46:46,90,117,0.3,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,46:45.5,1,0,0,--,00:46:46,00:53:42,--,--
Running,1/23/2024 12:31,FALSE,Running,1.61,148,00:51:17,85,114,0.3,2,151,31:48:00,02:40,241,242,17.65,0,0,0,0,0,0,0,0,0,0,0,--,00:00,0,00:00,No,11:38.9,2,0,1.61,242,00:03:08,00:51:17,-81,46
Pilates,4/12/2023 09:48,FALSE,Pilates,0,148,00:54:16,89,110,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,54:15.7,1,0,0,--,00:54:16,00:54:16,--,--
Running,6/19/2023 06:36,FALSE,Running,2.53,149,00:16:10,135,151,2.9,190,198,06:23,05:02,7,14,0.82,0,0,0,0,0,0,0,0,0,0,0,--,00:00,0,00:00,No,05:37.6,2,0,2.53,14,00:16:09,00:16:10,16,27
Pilates,12/7/2021 18:01,FALSE,Pilates,0,149,00:39:38,100,127,1.3,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,39:38.1,1,0,0,--,00:39:38,00:44:43,--,--
Pilates,4/4/2023 09:02,FALSE,Pilates,0,150,00:47:48,93,121,0.4,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,47:47.8,1,0,0,--,00:47:48,00:47:48,--,--
Pilates,2/4/2024 09:29,FALSE,Pilates,0,152,00:46:02,91,111,0.3,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,46:01.1,1,0,0,--,00:46:02,00:46:02,--,--
Pilates,12/15/2023 10:42,FALSE,Pilates,0,153,00:56:54,84,105,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,56:54.1,1,0,0,--,00:56:54,00:56:55,--,--
Running,6/25/2022 10:43,FALSE,Carrera,2.43,156,00:18:01,166,173,3.1,177,196,07:25,06:20,5,14,0.76,0,0,0,0,0,0,0,0,0,0,0,--,00:00,0,00:00,No,05:47.2,2,0,2.43,14,00:17:25,00:18:01,53,66
Pilates,5/7/2023 08:52,FALSE,Pilates,0,157,00:52:44,91,126,0.4,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,52:44.1,1,0,0,--,00:52:44,00:52:44,--,--
Pilates,12/3/2023 07:56,FALSE,Pilates,0,159,00:45:31,94,124,0.4,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,45:30.6,1,0,0,--,00:45:31,00:45:31,--,--
Pilates,6/29/2023 07:45,FALSE,Pilates,0,159,00:58:57,87,115,0.3,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,58:57.2,1,0,0,--,00:58:57,01:00:32,--,--
Running,3/21/2023 07:13,FALSE,Carrera,2.85,159,00:16:01,158,169,4,192,201,05:38,04:57,15,16,0.92,0,0,0,0,0,0,0,0,0,0,0,--,00:00,0,00:00,No,06:38.8,2,0,2.85,16,00:16:00,00:25:09,14,31
